feature,split_importance,gain_importance,rank_gain
d1_potassium_max_missing,45,1435.2608089447021,140
pao2_apache,105,1433.972560763359,141
arf_apache,71,1429.8973112106323,142
d1_mbp_invasive_max,107,1403.6624884605408,143
h1_arterial_ph_max,78,1372.038238465786,144
h1_arterial_pco2_min,89,1356.0381865501404,145
icu_admit_source_Floor,49,1283.501805305481,146
gcs_unable_apache,41,1267.216546535492,147
apache_2_bodysystem_Undefined diagnoses,34,1241.5970039367676,148
h1_hemaglobin_min,77,1211.3033244609833,149
apache_3j_bodysystem_Sepsis,48,1206.6247744560242,150
gender,67,1195.2961139678955,151
hospital_admit_source_Emergency Department,61,1189.3034937381744,152
h1_creatinine_max,78,1108.4585889577866,153
h1_diasbp_invasive_min,68,1084.849328637123,154
d1_mbp_invasive_max_missing,17,1083.1129047870636,155
h1_wbc_max,70,1037.8391437232494,156
immunosuppression,39,1022.3046855926514,157
icu_type_Med-Surg ICU,59,1017.4722129106522,158
d1_inr_max_missing,42,1015.8829236030579,159
h1_potassium_min,69,1015.7337596416473,160
h1_sysbp_invasive_min,62,1013.0341210365295,161
h1_hematocrit_min,61,1005.2153714895248,162
h1_arterial_po2_max,67,972.9685040414333,163
h1_platelets_max,67,971.6425407230854,164
h1_arterial_po2_min,67,961.6455516815186,165
hospital_admit_source_Operating Room,31,960.1043844223022,166
h1_mbp_invasive_max,51,951.532080411911,167
apache_3j_bodysystem_Gastrointestinal,45,939.4592771530151,168
h1_hemaglobin_max,62,904.8672239333391,169
apache_2_bodysystem_Cardiovascular,51,894.6990518569946,170
d1_sysbp_min_missing,21,852.0909967422485,171
d1_sysbp_invasive_max_missing,18,820.618501663208,172
h1_platelets_min,48,819.5126802921295,173
h1_sysbp_invasive_max,53,819.037957906723,174
h1_creatinine_min,51,800.4527492523193,175
h1_bun_max,63,799.0392889976501,176
h1_diasbp_invasive_max,44,786.4070318937302,177
apache_3j_bodysystem_Trauma,37,784.6067037582397,178
hospital_admit_source_Floor,30,774.4853262901306,179
wbc_apache_missing,26,746.581148147583,180
h1_arterial_pco2_max,59,730.1797564327717,181
h1_arterial_ph_min,48,725.6709489822388,182
h1_pao2fio2ratio_max,50,724.3269875049591,183
