threshold,precision,recall,f1,TN,FP,FN,TP
0.05,0.12224558125048665,0.9917877447883765,0.21766255372244558,5487,11273,13,1570
0.06,0.12974316487158244,0.9892608970309539,0.22940013183915622,6256,10504,17,1566
0.07,0.13674093490607253,0.9886291850915983,0.24025176542830826,6880,9880,18,1565
0.08,0.14373848987108656,0.9861023373341756,0.2509041227999679,7461,9299,22,1561
0.09,0.14993744586661534,0.9842072015161086,0.26023049941540005,7927,8833,25,1558
0.09999999999999999,0.15607748670079294,0.9823120656980417,0.26935735319591203,8352,8408,28,1555
0.10999999999999999,0.1623349402640956,0.9785217940619078,0.27847191011235956,8767,7993,34,1549
0.12,0.16757167680278018,0.9747315224257739,0.28597905662125844,9095,7665,40,1543
0.13,0.17287714543812105,0.967150979153506,0.29332311524092347,9435,7325,52,1531
0.13999999999999999,0.17848782771535582,0.9633607075173721,0.3011750765280932,9741,7019,58,1525
0.14999999999999997,0.18361171629145484,0.9583070120025269,0.30817673946165564,10015,6745,66,1517
0.15999999999999998,0.1882954829049164,0.9532533164876816,0.31447327289778054,10255,6505,74,1509
0.16999999999999998,0.19349028689051845,0.9500947567909034,0.3215049166310389,10491,6269,79,1504
0.18,0.19914859651456698,0.9456727732154138,0.329010989010989,10740,6020,86,1497
0.19,0.20389681668496157,0.9387239418825016,0.33502423627550443,10958,5802,97,1486
0.19999999999999996,0.20884555602656493,0.9336702463676564,0.34133949191685914,11161,5599,105,1478
0.20999999999999996,0.21416083916083917,0.9286165508528111,0.3480525630401326,11366,5394,113,1470
0.21999999999999997,0.21845602508585935,0.9241945672773215,0.3533816425120773,11526,5234,120,1463
0.22999999999999998,0.22215412900260456,0.915982312065698,0.35758323057953145,11683,5077,133,1450
0.24,0.2265071619707225,0.9090334807327859,0.3626512096774194,11846,4914,144,1439
0.24999999999999994,0.23124092302727126,0.9052432090966519,0.36838046272493574,11996,4764,150,1433
0.25999999999999995,0.23577101257445401,0.9001895135818067,0.3736724793496788,12141,4619,158,1425
0.26999999999999996,0.23944378497541122,0.8919772583701832,0.3775401069518717,12275,4485,171,1412
0.27999999999999997,0.2444792210050426,0.8881869867340493,0.38341968911917096,12415,4345,177,1406
0.29,0.2491522398714974,0.8818698673404928,0.38853325911494574,12553,4207,187,1396
0.3,0.2534696859021183,0.8768161718256475,0.39325683524578553,12672,4088,195,1388
0.30999999999999994,0.2581790988969901,0.8723941882501579,0.39844200807847663,12792,3968,202,1381
0.31999999999999995,0.262945914844649,0.8660770688566014,0.40341327056054144,12917,3843,212,1371
0.32999999999999996,0.26855123674911663,0.8641819330385344,0.40976486446008686,13034,3726,215,1368
0.33999999999999997,0.27380474085978307,0.8610233733417562,0.41548544429202866,13145,3615,220,1363
0.3499999999999999,0.27840558865831105,0.8559696778269109,0.4201550387596899,13248,3512,228,1355
0.35999999999999993,0.2839090143218197,0.8515476942514214,0.425841099352393,13360,3400,235,1348
0.36999999999999994,0.28825928310796306,0.848389134554643,0.4303107978212112,13444,3316,240,1343
0.37999999999999995,0.29305799648506153,0.8427037271004422,0.4348818255908721,13542,3218,249,1334
0.38999999999999996,0.297442799461642,0.8376500315855969,0.43900016553550736,13628,3132,257,1326
0.3999999999999999,0.3026890370029878,0.831964624131396,0.44388270980788674,13726,3034,266,1317
0.4099999999999999,0.30861865407319955,0.8256475047378395,0.44929529047782746,13832,2928,276,1307
0.41999999999999993,0.3127114548090865,0.817435249526216,0.4523684670512148,13916,2844,289,1294
0.42999999999999994,0.3171273445212241,0.8117498420720152,0.45607808340727596,13993,2767,298,1285
0.43999999999999995,0.32361885453623923,0.8066961465571699,0.46192801591607885,14091,2669,306,1277
0.4499999999999999,0.33038271283519915,0.8016424510423247,0.46792035398230086,14188,2572,314,1269
0.4599999999999999,0.33537886872998934,0.7940619077700568,0.47158131682611143,14269,2491,326,1257
0.4699999999999999,0.33931484502446985,0.7883765003158559,0.4744345181524425,14330,2430,335,1248
0.4799999999999999,0.3452215101699638,0.7826910928616551,0.4791183294663573,14410,2350,344,1239
0.48999999999999994,0.35218508997429304,0.7789008212255212,0.485051140833989,14492,2268,350,1233
0.49999999999999994,0.359729172799529,0.7719519898926089,0.4907630522088353,14585,2175,361,1222
0.5099999999999999,0.367624810892587,0.7675300063171194,0.4971358428805237,14670,2090,368,1215
0.5199999999999999,0.3719059405940594,0.7593177511054959,0.4992731048805815,14730,2030,381,1202
0.5299999999999999,0.37732870224186926,0.7548957675300063,0.5031578947368421,14788,1972,388,1195
0.5399999999999999,0.38304755742478164,0.7479469361970941,0.5066324347454001,14853,1907,399,1184
0.5499999999999999,0.3891658358258558,0.7397346809854706,0.5100174216027874,14922,1838,412,1171
0.5599999999999999,0.39374362461747703,0.7315224257738471,0.5119363395225465,14977,1783,425,1158
0.57,0.39902676399026765,0.7252053063802906,0.5147982062780269,15031,1729,435,1148
0.58,0.4073676680972818,0.7195198989260897,0.5202100936286823,15103,1657,444,1139
