feature,mean_abs_shap
h1_sysbp_noninvasive_min_missing,0.0013468132764483188
d1_hco3_min_missing,0.0013274660003396602
sodium_apache_missing,0.0013175448252160332
icu_type_Cardiac ICU,0.001254437543345582
h1_temp_min_missing,0.0012278127745803161
d1_potassium_min_missing,0.0010448785135609721
d1_mbp_max_missing,0.0010260592208801585
icu_type_SICU,0.001013074511383243
d1_bun_max_missing,0.0009951005533540606
gcs_verbal_apache_missing,0.0009304691093885995
d1_mbp_noninvasive_max_missing,0.0009211681072576883
d1_hematocrit_min_missing,0.0008579726714660318
d1_temp_min_missing,0.0008484494170661748
d1_glucose_max_missing,0.0008460783682276446
icu_stay_type_transfer,0.0008450560050448832
icu_type_MICU,0.0008252075382876448
icu_type_CTICU,0.0008105121555062052
apache_2_bodysystem_Haematologic,0.0008091980178238366
h1_resprate_max_missing,0.0007249367180224439
h1_heartrate_max_missing,0.0007198448751829578
h1_spo2_max_missing,0.0006972056272802232
d1_sysbp_noninvasive_max_missing,0.0006886909825985135
d1_wbc_min_missing,0.0006864973040488612
hospital_admit_source_Acute Care/Floor,0.0006829446409072707
icu_stay_type_admit,0.0006068264676262329
weight_missing,0.0005962806679598567
d1_platelets_min_missing,0.0005765444863949316
ethnicity_Hispanic,0.0005611177606441795
h1_resprate_min_missing,0.0005607210276146413
h1_diasbp_noninvasive_max_missing,0.000547834885584708
ethnicity_Other/Unknown,0.0005445483605747485
h1_mbp_noninvasive_max_missing,0.000533533996970611
ethnicity_missing,0.000500210991772409
h1_mbp_noninvasive_min_missing,0.00047379557699075487
apache_2_bodysystem_Renal/Genitourinary,0.00047136433205408653
d1_hemaglobin_max_missing,0.00041946743554095077
h1_spo2_min_missing,0.0004043613282134948
d1_mbp_min_missing,0.00039372065343202677
d1_hemaglobin_min_missing,0.0003594106882407534
d1_bun_min_missing,0.00028704297312890276
h1_diasbp_max_missing,0.0002693160898266213
d1_mbp_noninvasive_min_missing,0.0002566592325006387
d1_diasbp_noninvasive_min_missing,0.0002520476977399085
d1_sysbp_noninvasive_min_missing,0.00024857681123653793
ethnicity_Asian,0.000221453737406982
d1_glucose_min_missing,0.00021971694168009892
h1_heartrate_min_missing,0.0002068488970368514
ethnicity_Unknown,0.0001969503073236166
heart_rate_apache_missing,0.00018493893282169364
h1_sysbp_min_missing,0.0001794808837098092
h1_diasbp_noninvasive_min_missing,0.00016722824433165214
resprate_apache_missing,0.00014419909219930623
ethnicity_Native American,0.00012074124961716056
hospital_admit_source_Step-Down Unit (SDU),0.00011700274561942296
hospital_admit_source_PACU,0.00010925384240040148
apache_3j_bodysystem_Genitourinary,0.00010371938454010215
h1_diasbp_min_missing,7.721498624720528e-05
d1_spo2_min_missing,4.147404579225359e-05
arf_apache_missing,3.9918751739742124e-05
apache_2_diagnosis_missing,3.75187456781825e-05
apache_2_bodysystem_missing,2.0879120211111015e-05
icu_admit_source_Other ICU,1.830363313004482e-05
ventilated_apache_missing,0.0
apache_2_bodysystem_Undefined Diagnoses,0.0
aids,0.0
readmission_status,0.0
apache_3j_bodysystem_Unknown,0.0
intubated_apache_missing,0.0
leukemia,0.0
lymphoma,0.0
gender_missing,0.0
icu_admit_source_missing,0.0
apache_3j_bodysystem_Gynecological,0.0
gcs_unable_apache_missing,0.0
apache_3j_bodysystem_Musculoskeletal/Skin,0.0
apache_3j_diagnosis_missing,0.0
d1_diasbp_max_missing,0.0
hospital_admit_source_ICU to SDU,0.0
d1_diasbp_min_missing,0.0
icu_stay_type_readmit,0.0
h1_sysbp_max_missing,0.0
aids_missing,0.0
cirrhosis_missing,0.0
diabetes_mellitus_missing,0.0
hepatic_failure_missing,0.0
immunosuppression_missing,0.0
leukemia_missing,0.0
lymphoma_missing,0.0
solid_tumor_with_metastasis_missing,0.0
apache_3j_bodysystem_missing,0.0
d1_sysbp_min_missing,0.0
gender_Unknown,0.0
hospital_admit_source_Chest Pain Center,0.0
d1_sysbp_max_missing,0.0
d1_spo2_max_missing,0.0
hospital_admit_source_ICU,0.0
hospital_admit_source_Observation,0.0
d1_resprate_min_missing,0.0
hospital_admit_source_Other,0.0
d1_resprate_max_missing,0.0
hospital_admit_source_Other ICU,0.0
hospital_admit_source_Recovery Room,0.0
d1_heartrate_min_missing,0.0
d1_heartrate_max_missing,0.0
icu_admit_source_Unknown,0.0
apache_2_bodysystem_Unknown,0.0
