prediction_type,age,bmi,elective_surgery,height,icu_id,pre_icu_los_days,readmission_status,weight,apache_2_diagnosis,apache_3j_diagnosis,apache_post_operative,arf_apache,bun_apache,creatinine_apache,gcs_eyes_apache,gcs_motor_apache,gcs_unable_apache,gcs_verbal_apache,glucose_apache,heart_rate_apache,hematocrit_apache,intubated_apache,map_apache,resprate_apache,sodium_apache,temp_apache,ventilated_apache,wbc_apache,d1_diasbp_max,d1_diasbp_min,d1_diasbp_noninvasive_max,d1_diasbp_noninvasive_min,d1_heartrate_max,d1_heartrate_min,d1_mbp_max,d1_mbp_min,d1_mbp_noninvasive_max,d1_mbp_noninvasive_min,d1_resprate_max,d1_resprate_min,d1_spo2_max,d1_spo2_min,d1_sysbp_max,d1_sysbp_min,d1_sysbp_noninvasive_max,d1_sysbp_noninvasive_min,d1_temp_max,d1_temp_min,h1_diasbp_max,h1_diasbp_min,h1_diasbp_noninvasive_max,h1_diasbp_noninvasive_min,h1_heartrate_max,h1_heartrate_min,h1_mbp_max,h1_mbp_min,h1_mbp_noninvasive_max,h1_mbp_noninvasive_min,h1_resprate_max,h1_resprate_min,h1_spo2_max,h1_spo2_min,h1_sysbp_max,h1_sysbp_min,h1_sysbp_noninvasive_max,h1_sysbp_noninvasive_min,h1_temp_max,h1_temp_min,d1_bun_max,d1_bun_min,d1_calcium_max,d1_calcium_min,d1_creatinine_max,d1_creatinine_min,d1_glucose_max,d1_glucose_min,d1_hco3_max,d1_hco3_min,d1_hemaglobin_max,d1_hemaglobin_min,d1_hematocrit_max,d1_hematocrit_min,d1_platelets_max,d1_platelets_min,d1_potassium_max,d1_potassium_min,d1_sodium_max,d1_sodium_min,d1_wbc_max,d1_wbc_min,aids,cirrhosis,diabetes_mellitus,hepatic_failure,immunosuppression,leukemia,lymphoma,solid_tumor_with_metastasis,age_missing,bmi_missing,ethnicity_missing,gender_missing,height_missing,hospital_admit_source_missing,icu_admit_source_missing,weight_missing,apache_2_diagnosis_missing,apache_3j_diagnosis_missing,arf_apache_missing,bun_apache_missing,creatinine_apache_missing,gcs_eyes_apache_missing,gcs_motor_apache_missing,gcs_unable_apache_missing,gcs_verbal_apache_missing,glucose_apache_missing,heart_rate_apache_missing,hematocrit_apache_missing,intubated_apache_missing,map_apache_missing,resprate_apache_missing,sodium_apache_missing,temp_apache_missing,ventilated_apache_missing,wbc_apache_missing,d1_diasbp_max_missing,d1_diasbp_min_missing,d1_diasbp_noninvasive_max_missing,d1_diasbp_noninvasive_min_missing,d1_heartrate_max_missing,d1_heartrate_min_missing,d1_mbp_max_missing,d1_mbp_min_missing,d1_mbp_noninvasive_max_missing,d1_mbp_noninvasive_min_missing,d1_resprate_max_missing,d1_resprate_min_missing,d1_spo2_max_missing,d1_spo2_min_missing,d1_sysbp_max_missing,d1_sysbp_min_missing,d1_sysbp_noninvasive_max_missing,d1_sysbp_noninvasive_min_missing,d1_temp_max_missing,d1_temp_min_missing,h1_diasbp_max_missing,h1_diasbp_min_missing,h1_diasbp_noninvasive_max_missing,h1_diasbp_noninvasive_min_missing,h1_heartrate_max_missing,h1_heartrate_min_missing,h1_mbp_max_missing,h1_mbp_min_missing,h1_mbp_noninvasive_max_missing,h1_mbp_noninvasive_min_missing,h1_resprate_max_missing,h1_resprate_min_missing,h1_spo2_max_missing,h1_spo2_min_missing,h1_sysbp_max_missing,h1_sysbp_min_missing,h1_sysbp_noninvasive_max_missing,h1_sysbp_noninvasive_min_missing,h1_temp_max_missing,h1_temp_min_missing,d1_bun_max_missing,d1_bun_min_missing,d1_calcium_max_missing,d1_calcium_min_missing,d1_creatinine_max_missing,d1_creatinine_min_missing,d1_glucose_max_missing,d1_glucose_min_missing,d1_hco3_max_missing,d1_hco3_min_missing,d1_hemaglobin_max_missing,d1_hemaglobin_min_missing,d1_hematocrit_max_missing,d1_hematocrit_min_missing,d1_platelets_max_missing,d1_platelets_min_missing,d1_potassium_max_missing,d1_potassium_min_missing,d1_sodium_max_missing,d1_sodium_min_missing,d1_wbc_max_missing,d1_wbc_min_missing,aids_missing,cirrhosis_missing,diabetes_mellitus_missing,hepatic_failure_missing,immunosuppression_missing,leukemia_missing,lymphoma_missing,solid_tumor_with_metastasis_missing,apache_3j_bodysystem_missing,apache_2_bodysystem_missing,ethnicity_African American,ethnicity_Asian,ethnicity_Caucasian,ethnicity_Hispanic,ethnicity_Native American,ethnicity_Other/Unknown,ethnicity_Unknown,gender_F,gender_M,gender_Unknown,hospital_admit_source_Acute Care/Floor,hospital_admit_source_Chest Pain Center,hospital_admit_source_Direct Admit,hospital_admit_source_Emergency Department,hospital_admit_source_Floor,hospital_admit_source_ICU,hospital_admit_source_ICU to SDU,hospital_admit_source_Observation,hospital_admit_source_Operating Room,hospital_admit_source_Other,hospital_admit_source_Other Hospital,hospital_admit_source_Other ICU,hospital_admit_source_PACU,hospital_admit_source_Recovery Room,hospital_admit_source_Step-Down Unit (SDU),hospital_admit_source_Unknown,icu_admit_source_Accident & Emergency,icu_admit_source_Floor,icu_admit_source_Operating Room / Recovery,icu_admit_source_Other Hospital,icu_admit_source_Other ICU,icu_admit_source_Unknown,icu_stay_type_admit,icu_stay_type_readmit,icu_stay_type_transfer,icu_type_CCU-CTICU,icu_type_CSICU,icu_type_CTICU,icu_type_Cardiac ICU,icu_type_MICU,icu_type_Med-Surg ICU,icu_type_Neuro ICU,icu_type_SICU,apache_3j_bodysystem_Cardiovascular,apache_3j_bodysystem_Gastrointestinal,apache_3j_bodysystem_Genitourinary,apache_3j_bodysystem_Gynecological,apache_3j_bodysystem_Hematological,apache_3j_bodysystem_Metabolic,apache_3j_bodysystem_Musculoskeletal/Skin,apache_3j_bodysystem_Neurological,apache_3j_bodysystem_Respiratory,apache_3j_bodysystem_Sepsis,apache_3j_bodysystem_Trauma,apache_3j_bodysystem_Unknown,apache_2_bodysystem_Cardiovascular,apache_2_bodysystem_Gastrointestinal,apache_2_bodysystem_Haematologic,apache_2_bodysystem_Metabolic,apache_2_bodysystem_Neurologic,apache_2_bodysystem_Renal/Genitourinary,apache_2_bodysystem_Respiratory,apache_2_bodysystem_Trauma,apache_2_bodysystem_Undefined Diagnoses,apache_2_bodysystem_Undefined diagnoses,apache_2_bodysystem_Unknown
FN,0.4525608788620131,0.06432692110188805,0.04331181554368013,0.024041832810788505,0.15382528315749505,0.11594237639734863,0.0,0.057492311471042466,0.07036205293591313,0.24733101357077483,0.0038438589955972213,0.008233998552847368,0.045138724476128184,0.038466954190061145,0.08447171056925151,0.19211616010972424,0.0024692377044427958,0.12264584024562641,0.036082612633506296,0.05337919356154495,0.029962556329353525,0.025606255046246303,0.03822521100663394,0.03512403250116169,0.0229460758262419,0.03803486171478764,0.435467517383615,0.03384613629374111,0.0194861344369515,0.022298011954736612,0.02895093831126292,0.022594107967323713,0.156810663322996,0.15999791075654576,0.018783712376751558,0.07012281741959553,0.01479144658173774,0.028388057873411247,0.15108799022755248,0.07646042294476313,0.022113068040889916,0.2183331232321787,0.04280464919092117,0.12301304548500257,0.03433240652483186,0.031362727928745886,0.07279449426416888,0.08750875701527117,0.016273974397438797,0.01973953186884324,0.02224632789502765,0.014104127068118704,0.04508930307080298,0.05634267949383138,0.023376827328360054,0.03514258248755264,0.025325615206253364,0.0224925627538654,0.03532036531793452,0.059000510146266276,0.014786445415077534,0.025497423584908117,0.020057320603591437,0.01577853570450419,0.021642888286380682,0.014159797831492987,0.031182629410821668,0.05629087150572728,0.15913041709391348,0.13418067004356915,0.02174334317938666,0.027256762379446946,0.050408329106499464,0.035635922103807796,0.04761710205669681,0.08038536723856672,0.04862589920060354,0.05463321455881745,0.04699850084665684,0.07998301319919317,0.02081877697105898,0.030849982036437483,0.03780695892542907,0.10205856003171637,0.03960328387181714,0.02866406866564254,0.060716807601893664,0.02301503624871188,0.05354002357897681,0.1145749497080983,0.0,0.005534291234354972,0.025533285302471787,0.007392096530203382,0.010239144651510133,0.0,0.0,0.02927215403599683,0.028155678849571937,0.0035800504377746564,0.0003956726993383085,0.0,0.0015270803223948785,0.010630593082182843,0.0,0.0004382221671103285,2.9793340862742543e-05,0.0,2.783806323517711e-05,0.0012347338969829556,0.0022109388045263648,0.01152533332071267,0.00408516629700317,0.0,0.0011900569035904562,0.00427633879706162,0.0001629864642677915,0.0024122028338582546,0.0,0.003275845348158406,0.00012452452170818237,0.0012780880034690787,0.0053504287084103945,0.0,0.0050101689386129605,0.0,0.0,0.0013644809735836002,0.0002486914607540818,0.0,0.0,0.001203424944698289,0.0004589231603472788,0.0009854219707935703,0.0002929072366094381,0.0,0.0,0.0,3.614177233820727e-05,0.0,0.0,0.0006698883575982748,0.00022481559473468317,0.0013510128144865246,0.0006185585727090544,0.0002864913977758065,9.67106946104311e-05,0.0005840375663050029,0.000130725779124359,0.000637043705943793,0.0001986607041954856,0.002950820622481392,0.0019586697589894578,0.0005174637861129783,0.00041337115181933184,0.000739251555941305,0.0005826760815913483,0.0007537394992639481,0.0003605336538771858,0.0,0.000144692803726444,0.002984143408334351,0.0013242155799843781,0.0027452064668276087,0.0012956489019527598,0.0009915266797282437,0.00023022758079562517,0.003325345487516735,0.0021274630630008138,0.013713610428781105,0.00433312558545509,0.0007642265446734964,0.0002535533742137633,0.001516920847810613,0.0013707580106562171,0.0004029962582277992,0.00033186601088283955,0.001864093793187652,0.0007380347186262534,0.0018283913422791995,0.0005255998188973185,0.0030598610580587493,0.001131872977993444,0.006942394169961254,0.0023889319523700023,0.0015469642624470847,0.0006009422878153054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.425536568285942e-05,0.023894684313168674,0.0001789638404201745,0.0037879975028301716,0.0006747325446256405,9.154430470557736e-05,0.000436902147039547,0.0001495191775201034,0.015040452115111224,0.025758195174779935,0.0,0.0006482528306643692,0.0,0.012197984442925884,0.002980338292845255,0.009368552819993247,0.0,0.0,0.0,0.005642492145696813,0.0,0.0037017245687179217,0.0,6.46036484195506e-05,0.0,0.0001394173352434907,0.0024115789587781152,0.008440908495604728,0.013001219002677769,0.032360746234167195,0.011990282512365124,2.9364146252211028e-05,0.0,0.0006757929209473081,0.0,0.000876492374588501,0.005284986950340834,0.01163258821462855,0.0006821756382546377,0.0018377640142276468,0.0009233469104282771,0.03129738039214075,0.013109327213571099,0.0009511088617858757,0.034438480708856675,0.0038874885788893546,0.00012243478946809546,0.0,0.0015753318103053776,0.04668143052427283,0.0,0.026743911927689722,0.00670155344662445,0.006113620762899281,0.005606847046895978,0.0,0.01442973513346394,0.002261906508886974,0.0007106144227169513,0.025331274486939958,0.008284710980460627,0.00048295909806697737,0.003151273751673732,0.0028677640197932166,0.0,0.015238947466094954,0.0
FP,0.42064739186292127,0.06611730462111855,0.047759648550799505,0.0240018194708021,0.13199353562475757,0.10697770944130473,0.0,0.05401833710079724,0.07725747163741317,0.27688975987851894,0.004137522554142521,0.01049106973446961,0.04562817856221527,0.04597239412897687,0.12323529814529564,0.2880345197130921,0.0023547850187103712,0.1373938984629026,0.04149633362740479,0.050929177707792324,0.03178547121118024,0.034466905844597016,0.04550891743559465,0.03703314175843608,0.02278305380455302,0.05120786641093497,0.5305756551081794,0.03685458259665924,0.019639460153810656,0.03641512618823848,0.02201541162207658,0.021812239618955426,0.1834196847550367,0.19887140772272754,0.0195603131372363,0.08554777324443245,0.01572363561295475,0.03225687745595683,0.15259845551093892,0.0838604053833081,0.02546244811191198,0.2959687448866569,0.04780642778971217,0.18779130283364742,0.035310125085568814,0.04348219408094846,0.08575706957775528,0.11913287800794722,0.015294351768147304,0.019693388591087123,0.021835225453030155,0.014611176473234403,0.05137878006314766,0.05755520064393109,0.022550061369155116,0.031179423900223907,0.026628390437902445,0.02351152110107898,0.03501508535361198,0.06248619714260983,0.014912677740807238,0.02898657482894177,0.01825372002389818,0.013939503313304413,0.02246895567373016,0.015832347608567214,0.03272356305558666,0.05688422660821921,0.17117944195033313,0.14014475355272424,0.01907438296359435,0.02356642652756516,0.061647693299926955,0.03309684135523555,0.040929851240257845,0.08555068785525297,0.081632357676449,0.08974896227743794,0.044599744349658084,0.06770067583716068,0.022616690454825002,0.02946530323456562,0.03523602479551256,0.11779433473561601,0.03889556959389365,0.027380487091750134,0.05767285522563672,0.024381605343829445,0.062035153919514086,0.1274336292691046,0.0,0.007808951397504902,0.027649109978533745,0.015504630861269722,0.008435376598262274,0.0,0.0,0.034060540994731714,0.03345322832715768,0.002856308604278761,0.0003191920003934654,0.0,0.0024265488372034777,0.010614636372280783,0.0,0.0003077967862896042,3.102910764153453e-05,0.0,2.1297502455063185e-05,0.0012960526371454315,0.002228805173007699,0.00999863456804307,0.00342902095832245,0.0,0.0011127448184092145,0.004995489565980752,7.33673528660369e-05,0.0028906405089409036,0.0,0.002728728064823135,6.854218164581377e-05,0.001130366615662612,0.005602325772258788,0.0,0.006935208953127841,0.0,0.0,0.0009365873641427136,0.00019340672047532084,0.0,0.0,0.0008616642047368808,0.0003248782067689787,0.0006349429765447033,0.00015097965538240533,0.0,0.0,0.0,2.15779894090124e-05,0.0,0.0,0.0005261282949516115,0.0001502360840058449,0.0015903830561536643,0.0008098325406403634,0.00023406352760985604,5.070715049481832e-05,0.0005727928777517573,0.0001164227774094097,0.0005279934936612791,0.00010767001117673188,0.002211266939280375,0.0014839280061197937,0.0003890261735853487,0.00030201987662951333,0.000776783116218343,0.0004890321105210267,0.0005539793338400705,0.000242422316343363,0.0,0.00011650972879797021,0.002570799280468115,0.001124070079804987,0.0026506158539776324,0.001129077701778849,0.0008579075623485455,0.0002659025496829428,0.003332426265288841,0.0021797599864812884,0.011559142529360387,0.0038011507469763203,0.0005177324060346634,0.00023252684040316266,0.001443169943738382,0.0013606670716016333,0.00048479938428423524,0.0003078576499638918,0.0014614144358634734,0.0009564066366801506,0.0018757103868346611,0.0004812131094288915,0.003532020278715149,0.001239358319446527,0.006261406482510056,0.002110995662880011,0.001315421836506822,0.0005075360506607771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617378166722565e-05,0.022457559300033045,0.00022186121962895864,0.004337340267421942,0.000556353322060713,0.00018301514885319826,0.0003837306831091178,0.00014521694740807594,0.014108638156994435,0.02301486541277402,0.0,0.0007062850420791146,0.0,0.009421630973010239,0.0031480076369463953,0.0084334845344598,0.0,0.0,0.0,0.005108019546783697,0.0,0.0022614028502829066,0.0,7.796862775839561e-05,0.0,0.00018336524363423787,0.0021294231592313517,0.007168245890407396,0.012758548707598958,0.031523438766398695,0.006433741976274769,1.9722599710870934e-05,0.0,0.0009187846765714565,0.0,0.0010843156385532376,0.0036654627196320046,0.007988099632399178,0.0005483388818607444,0.001687387631340957,0.001035109876049729,0.028075426973353603,0.012728676156644999,0.0006414202796882155,0.027861825597777248,0.0040320790727214765,0.00011120193371231598,0.0,0.001509120028267526,0.0390504379046009,0.0,0.02298060032709988,0.007671732338573957,0.009166541647870008,0.004360825235384872,0.0,0.014816902855837595,0.0022892832435456706,0.0007656115235679473,0.019644384333994507,0.006852882736598463,0.000358392462772203,0.004019114720405966,0.0025574561773252184,0.0,0.012329733358644918,0.0
TN,0.4964560520055608,0.05708879797664201,0.042353855279813356,0.02386177305432526,0.14823983999635928,0.09370210023125525,0.0,0.05660843258651021,0.05999219308933287,0.2649871131657874,0.003547881788335525,0.010409832820368085,0.040969162418260756,0.026932670128858423,0.06410596987869249,0.1421231860503539,0.0019962120099195338,0.10407384769939215,0.029093698574320634,0.05568926526218355,0.023063960564260782,0.0157923770142356,0.03635029901098186,0.03310670901811892,0.02158130399495386,0.03277347771359242,0.37218303111703344,0.030002151070082476,0.014985993818053708,0.01917971439741341,0.022471703437455397,0.020066377283797506,0.14003379840720265,0.14328384353756438,0.016362211522657304,0.07074971306147688,0.013784765601916672,0.03249373951969781,0.1556998260531132,0.07037199954570528,0.018240104460701023,0.16766117634369926,0.03548151600869086,0.09709257886868941,0.02983135806239227,0.024063251837161754,0.0601868370672057,0.06240307470635924,0.01570949213162042,0.02010319501438369,0.019419560269874635,0.01135513415804445,0.035548647601496564,0.05064063244789739,0.02503364964902374,0.03809131719824794,0.02623277733542634,0.024778823535417202,0.03328224413041898,0.0549606532771809,0.014057064798895355,0.018933740607547864,0.020615089337224092,0.013905185542820652,0.020726699944489484,0.011923460320260695,0.025827182734168796,0.0502853067550768,0.14158571825595484,0.11362320632869669,0.018253615832844603,0.02592036191451211,0.038974186667374885,0.03218264465656353,0.05277813925392864,0.0758773264520636,0.03905411000625083,0.04574600822878587,0.04538134217619677,0.08347104626568944,0.019506925468322143,0.02284911011290735,0.03544130215769409,0.07345250699133642,0.03839425998728538,0.027174506230444703,0.054787739770794805,0.018285791618789224,0.046127999268343794,0.1047738001212925,0.0,0.005868893022375113,0.02283364009235791,0.00753872738437842,0.0050618689940403,0.0,0.0,0.016885758204021318,0.023001118448408745,0.003915717359146768,0.0005275174727149768,0.0,0.0015950232545919997,0.01098002041148593,0.0,0.0006437614385668071,3.680353656925563e-05,0.0,4.2722997407142184e-05,0.0013814755652450032,0.002247061924457923,0.009288542862526873,0.0035456882517346873,0.0,0.000889662362538053,0.004673951081713114,0.00020105220409338373,0.0024018183417253113,0.0,0.0026480531898523665,0.00015316801553051296,0.0013445737086019234,0.005893082631676586,0.0,0.003959669623443445,0.0,0.0,0.001416349284692109,0.0002551806017437973,0.0,0.0,0.001013764374556957,0.0003898479074366909,0.0009470122381906627,0.0002685188747210996,0.0,0.0,0.0,4.2915230811111995e-05,0.0,0.0,0.0007027963906701,0.00026065036727758613,0.0017619001004788636,0.0008414119388374066,0.0002769579681124367,8.064434173709421e-05,0.0005393772016187816,0.00017515696436266168,0.0007601084404584884,0.00022227137986516302,0.0037514875784137856,0.0022136080416961064,0.0005593478833960182,0.0005011317980354226,0.0007069652779220127,0.000580281663510677,0.0007227852331723097,0.0004309646870542331,0.0,0.00019126618215157396,0.0030281829768215073,0.0013896732328215501,0.0023437620180096715,0.0012427812717136118,0.0009910076663630738,0.0002850201229166199,0.003238852559730881,0.001991184389781022,0.014498199862942911,0.004532803267433535,0.0008936575856854707,0.0002159763896312338,0.0014305967936369677,0.0012926446169880164,0.0004043904808278938,0.00036821555071116566,0.0022576959038415217,0.0008256238304941773,0.0019563894167758523,0.0005857739848601982,0.0026184320074815652,0.0009718548936031308,0.0065199678942384105,0.00226787248092946,0.0014419850365244794,0.0007115549895640855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1093990373355244e-05,0.022651418383725044,0.00022248493194229187,0.004028986808774725,0.0005532687801421461,0.00011415170691124124,0.0005657078014810164,0.00020447808718864765,0.014864342786796566,0.027067482938654804,0.0,0.0006830071999392225,0.0,0.011859059763362415,0.0027733028650777287,0.008341467711014596,0.0,0.0,0.0,0.00737846356282031,0.0,0.003048643068947375,0.0,0.00011690603583289608,0.0,0.0001074315108781393,0.002567229580417384,0.008876224292842494,0.011553832036156005,0.03553388251804499,0.009146718972824312,1.7356811910409792e-05,0.0,0.0005606735424717146,0.0,0.0008108721184810641,0.005692791190408184,0.016641028847196364,0.0008475119250152242,0.0011914603263930507,0.0007942718910313055,0.029976885137317815,0.010282315845303414,0.0010731556686221862,0.04194221725652757,0.0037396595724804,0.00010402883540268435,0.0,0.0016530331530077095,0.06067301924569849,0.0,0.02332772888332458,0.005753809864557039,0.004398879643099692,0.007359115920273511,0.0,0.014497359465991644,0.00234040939170673,0.0008234498861722822,0.0339659931400911,0.006802147337425718,0.0004938953937226252,0.0026459227551478568,0.003329929058911694,0.0,0.025118101865435078,0.0
TP,0.3873333400255719,0.057613986810774384,0.05220791962867884,0.025640165707811243,0.13375024278903186,0.09183749949735394,0.0,0.05180607905865555,0.08180759546922908,0.3616960377298296,0.00428683673931985,0.010835916492862467,0.043770542804785185,0.04970123417103043,0.16096059923157535,0.4008406603099787,0.002444153456153105,0.14720271224063908,0.04760405389007797,0.07841499689873695,0.03204167034173813,0.03922779976063768,0.05660367000941419,0.037561946184458475,0.02395478852962821,0.06958934171220725,0.5797371585820791,0.03833305166500344,0.021679117694991264,0.050962344964526785,0.026416405159640062,0.022909517326578293,0.18329796566282944,0.3062123600451262,0.02533808439799643,0.12178137220792719,0.017600459470833517,0.04271269360688207,0.1419107213029917,0.09106974426207796,0.045647025812776305,0.3567016034078845,0.05234628283340185,0.2417238331718892,0.03768451726245384,0.05251697946598703,0.13857848400413125,0.16145068976474783,0.016524510937782455,0.02129109903464018,0.026088802681949654,0.01700638303023908,0.045655375755690446,0.05802343242630384,0.024405613165125992,0.03166169467434151,0.028639541314722294,0.02614378548106124,0.03261490009596832,0.06554170968681325,0.017215336340736704,0.03313674615656473,0.01755989367001195,0.014731023539462587,0.021118351296910788,0.01835243007651434,0.038767247994897495,0.06031110016559506,0.16005153072173117,0.12167946377007391,0.022120538458586,0.026198312758463776,0.061530798015635345,0.030020967262371766,0.04399703555514193,0.10460102779866462,0.11523228622426213,0.11964163955485964,0.04676927345607707,0.06727288515852616,0.023927533251405023,0.02994098441926965,0.036255927814060424,0.15270241333714635,0.039106446501248913,0.03076345975584592,0.07161941859520207,0.02623217643176204,0.057461757631318076,0.1212527205713351,0.0,0.00783101852612589,0.029114125921313357,0.011866955046521847,0.008224185749999271,0.0,0.0,0.035871838287160035,0.031428979137309,0.004372835666494257,0.000358094356599507,0.0,0.0046386977352744895,0.010005648091019281,0.0,0.0003028590125449184,6.122886555324312e-05,0.0,2.6157613831652825e-05,0.0017220721387251605,0.0025529579149916786,0.010629388853827316,0.003868168760388153,0.0,0.0011902214819454182,0.0062641516878583735,8.343963437676303e-05,0.0029120833400017015,0.0,0.002990330922973045,0.00010876882813772551,0.001148873267732994,0.007954668626509257,0.0,0.00816620756906317,0.0,0.0,0.0011455271432587602,0.0002771888565679163,0.0,0.0,0.0013152944836558567,0.0005002795406001046,0.0008314513241392429,0.00017994469503363551,0.0,0.0,0.0,4.657611826423706e-05,0.0,0.0,0.0006793587065019933,0.00019496421274051856,0.002361502542105159,0.0011416610307257071,0.00018316829041986035,4.472625294179039e-05,0.0006278311017603957,0.00012743931213664785,0.0003758713208389113,9.276982074986084e-05,0.0017656213544899695,0.0011413716765670062,0.0003175661563604691,0.000293783895756186,0.0009333759091284436,0.00033042190595679674,0.00044041517844152847,0.00021389469275443973,0.0,9.341146823012835e-05,0.002406716242620641,0.0009646898923724841,0.0024533812910432743,0.0010753502732550782,0.0012297534688020314,0.0003781899201787446,0.003855797670952993,0.0028688709402788478,0.016986429569423176,0.004709894372368914,0.0005550810640765378,0.0002423849102380421,0.001950510507405568,0.0018048119510079758,0.0005843264549619301,0.00030156595245809764,0.0016632798084667774,0.0013129904794988581,0.002306523431024105,0.0005797073214332003,0.004963865651819493,0.0018946940267274184,0.006078751185327428,0.002076323958235674,0.0014745871660925343,0.0005657482614246454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0363985007218223e-05,0.022908277388633633,0.00022996030944282241,0.0066541436838676495,0.0006223951731733215,0.00016434783239525363,0.00047542450101543206,0.00017102094826649763,0.013321845718690762,0.020349724083711777,0.0,0.0006737803133798197,0.0,0.010395506235660396,0.004133433892387765,0.00675628492831659,0.0,0.0,0.0,0.004650005316083993,0.0,0.002444266179561083,0.0,5.4604598387223656e-05,0.0,0.00017164310783475436,0.0020316489532683025,0.006276007254323606,0.00981714385351323,0.03174388233219729,0.007503434867408625,2.4807938100095663e-05,0.0,0.0009033097179105739,0.0,0.0010661775411954194,0.003595402149013486,0.00812776285953808,0.000630848202692809,0.0013609532190186492,0.0009922735096644622,0.02871766454181421,0.010834047967100123,0.0005683388202322746,0.028694661590235822,0.003811337852099522,7.863018475398725e-05,0.0,0.0014697319901719986,0.036404268858438615,0.0,0.021585522840810643,0.005991224334176962,0.008471819450955542,0.004737751350200378,0.0,0.01427220782040804,0.0021778981259120878,0.0006984866186962543,0.017303753238558435,0.006675621311954137,0.0002515470140361136,0.0034828213860717706,0.0032080782697419285,0.0,0.0116711777194923,0.0
