prediction_type,age,bmi,elective_surgery,height,icu_id,pre_icu_los_days,readmission_status,weight,apache_2_diagnosis,apache_3j_diagnosis,apache_post_operative,arf_apache,bun_apache,creatinine_apache,gcs_eyes_apache,gcs_motor_apache,gcs_unable_apache,gcs_verbal_apache,glucose_apache,heart_rate_apache,hematocrit_apache,intubated_apache,map_apache,resprate_apache,sodium_apache,temp_apache,ventilated_apache,wbc_apache,d1_diasbp_max,d1_diasbp_min,d1_diasbp_noninvasive_max,d1_diasbp_noninvasive_min,d1_heartrate_max,d1_heartrate_min,d1_mbp_max,d1_mbp_min,d1_mbp_noninvasive_max,d1_mbp_noninvasive_min,d1_resprate_max,d1_resprate_min,d1_spo2_max,d1_spo2_min,d1_sysbp_max,d1_sysbp_min,d1_sysbp_noninvasive_max,d1_sysbp_noninvasive_min,d1_temp_max,d1_temp_min,h1_diasbp_max,h1_diasbp_min,h1_diasbp_noninvasive_max,h1_diasbp_noninvasive_min,h1_heartrate_max,h1_heartrate_min,h1_mbp_max,h1_mbp_min,h1_mbp_noninvasive_max,h1_mbp_noninvasive_min,h1_resprate_max,h1_resprate_min,h1_spo2_max,h1_spo2_min,h1_sysbp_max,h1_sysbp_min,h1_sysbp_noninvasive_max,h1_sysbp_noninvasive_min,h1_temp_max,h1_temp_min,d1_bun_max,d1_bun_min,d1_calcium_max,d1_calcium_min,d1_creatinine_max,d1_creatinine_min,d1_glucose_max,d1_glucose_min,d1_hco3_max,d1_hco3_min,d1_hemaglobin_max,d1_hemaglobin_min,d1_hematocrit_max,d1_hematocrit_min,d1_platelets_max,d1_platelets_min,d1_potassium_max,d1_potassium_min,d1_sodium_max,d1_sodium_min,d1_wbc_max,d1_wbc_min,aids,cirrhosis,diabetes_mellitus,hepatic_failure,immunosuppression,leukemia,lymphoma,solid_tumor_with_metastasis,age_missing,bmi_missing,ethnicity_missing,gender_missing,height_missing,hospital_admit_source_missing,icu_admit_source_missing,weight_missing,apache_2_diagnosis_missing,apache_3j_diagnosis_missing,arf_apache_missing,bun_apache_missing,creatinine_apache_missing,gcs_eyes_apache_missing,gcs_motor_apache_missing,gcs_unable_apache_missing,gcs_verbal_apache_missing,glucose_apache_missing,heart_rate_apache_missing,hematocrit_apache_missing,intubated_apache_missing,map_apache_missing,resprate_apache_missing,sodium_apache_missing,temp_apache_missing,ventilated_apache_missing,wbc_apache_missing,d1_diasbp_max_missing,d1_diasbp_min_missing,d1_diasbp_noninvasive_max_missing,d1_diasbp_noninvasive_min_missing,d1_heartrate_max_missing,d1_heartrate_min_missing,d1_mbp_max_missing,d1_mbp_min_missing,d1_mbp_noninvasive_max_missing,d1_mbp_noninvasive_min_missing,d1_resprate_max_missing,d1_resprate_min_missing,d1_spo2_max_missing,d1_spo2_min_missing,d1_sysbp_max_missing,d1_sysbp_min_missing,d1_sysbp_noninvasive_max_missing,d1_sysbp_noninvasive_min_missing,d1_temp_max_missing,d1_temp_min_missing,h1_diasbp_max_missing,h1_diasbp_min_missing,h1_diasbp_noninvasive_max_missing,h1_diasbp_noninvasive_min_missing,h1_heartrate_max_missing,h1_heartrate_min_missing,h1_mbp_max_missing,h1_mbp_min_missing,h1_mbp_noninvasive_max_missing,h1_mbp_noninvasive_min_missing,h1_resprate_max_missing,h1_resprate_min_missing,h1_spo2_max_missing,h1_spo2_min_missing,h1_sysbp_max_missing,h1_sysbp_min_missing,h1_sysbp_noninvasive_max_missing,h1_sysbp_noninvasive_min_missing,h1_temp_max_missing,h1_temp_min_missing,d1_bun_max_missing,d1_bun_min_missing,d1_calcium_max_missing,d1_calcium_min_missing,d1_creatinine_max_missing,d1_creatinine_min_missing,d1_glucose_max_missing,d1_glucose_min_missing,d1_hco3_max_missing,d1_hco3_min_missing,d1_hemaglobin_max_missing,d1_hemaglobin_min_missing,d1_hematocrit_max_missing,d1_hematocrit_min_missing,d1_platelets_max_missing,d1_platelets_min_missing,d1_potassium_max_missing,d1_potassium_min_missing,d1_sodium_max_missing,d1_sodium_min_missing,d1_wbc_max_missing,d1_wbc_min_missing,aids_missing,cirrhosis_missing,diabetes_mellitus_missing,hepatic_failure_missing,immunosuppression_missing,leukemia_missing,lymphoma_missing,solid_tumor_with_metastasis_missing,apache_3j_bodysystem_missing,apache_2_bodysystem_missing,ethnicity_African American,ethnicity_Asian,ethnicity_Caucasian,ethnicity_Hispanic,ethnicity_Native American,ethnicity_Other/Unknown,ethnicity_Unknown,gender_F,gender_M,gender_Unknown,hospital_admit_source_Acute Care/Floor,hospital_admit_source_Chest Pain Center,hospital_admit_source_Direct Admit,hospital_admit_source_Emergency Department,hospital_admit_source_Floor,hospital_admit_source_ICU,hospital_admit_source_ICU to SDU,hospital_admit_source_Observation,hospital_admit_source_Operating Room,hospital_admit_source_Other,hospital_admit_source_Other Hospital,hospital_admit_source_Other ICU,hospital_admit_source_PACU,hospital_admit_source_Recovery Room,hospital_admit_source_Step-Down Unit (SDU),hospital_admit_source_Unknown,icu_admit_source_Accident & Emergency,icu_admit_source_Floor,icu_admit_source_Operating Room / Recovery,icu_admit_source_Other Hospital,icu_admit_source_Other ICU,icu_admit_source_Unknown,icu_stay_type_admit,icu_stay_type_readmit,icu_stay_type_transfer,icu_type_CCU-CTICU,icu_type_CSICU,icu_type_CTICU,icu_type_Cardiac ICU,icu_type_MICU,icu_type_Med-Surg ICU,icu_type_Neuro ICU,icu_type_SICU,apache_3j_bodysystem_Cardiovascular,apache_3j_bodysystem_Gastrointestinal,apache_3j_bodysystem_Genitourinary,apache_3j_bodysystem_Gynecological,apache_3j_bodysystem_Hematological,apache_3j_bodysystem_Metabolic,apache_3j_bodysystem_Musculoskeletal/Skin,apache_3j_bodysystem_Neurological,apache_3j_bodysystem_Respiratory,apache_3j_bodysystem_Sepsis,apache_3j_bodysystem_Trauma,apache_3j_bodysystem_Unknown,apache_2_bodysystem_Cardiovascular,apache_2_bodysystem_Gastrointestinal,apache_2_bodysystem_Haematologic,apache_2_bodysystem_Metabolic,apache_2_bodysystem_Neurologic,apache_2_bodysystem_Renal/Genitourinary,apache_2_bodysystem_Respiratory,apache_2_bodysystem_Trauma,apache_2_bodysystem_Undefined Diagnoses,apache_2_bodysystem_Undefined diagnoses,apache_2_bodysystem_Unknown
FN,0.17638877988506851,0.010646415664363052,0.013753251051182604,-0.003461432839123589,0.009851170317031178,0.03713621065491247,0.0,0.009028625341780788,0.0022986402540761787,0.07285316753059838,0.0007184798370555826,-0.0013082636359993513,0.010639641408532838,-0.0012830798751761214,0.017459940607650583,0.048300422151530895,0.000807782127319176,0.04420540037534764,0.002568277539646392,0.011047980182360402,-0.005544330227964839,0.007898612285197327,0.002743267684671258,0.0017356697550050572,0.0016877429734228424,0.00452983533758637,0.09070864155934881,0.006035798695948634,-0.002059420492136302,0.005753044483428793,-0.007031113822179817,-0.002186677666416402,0.0384479959264336,0.027997004588525335,0.0012617020365628918,0.007080144323077884,0.0012135604162660984,0.002392048356706332,0.03599415394661459,0.011349701740020637,0.0015259243127111375,0.042563732151648055,0.006214646944097552,0.019542694650781813,0.006519277436110918,0.0021209651631737473,0.011435081997252902,0.018494717915011668,0.0016615249536546034,0.0027954761600713237,-0.0026211181136209126,0.004717318525805273,-0.0050525817199259925,-0.007021963208619223,0.0019852101454432922,0.008492825746769628,0.002680594115685881,0.0029366476960930804,0.005726672577771384,0.012727549179783701,0.0018406371574606233,-0.0012609877374932024,0.0009380988731257231,0.00023748486701284476,0.003403718187715713,-0.0005360810745908982,0.002096558104208554,0.0003076749213544095,0.06706638811279154,0.07142263890117176,0.0038331437523692466,0.007643016604619108,0.006702617315484887,0.007842316855100145,0.010742551775741498,0.009746232574799157,0.002094102302078587,-0.0017997062848611493,0.0037212510388834543,0.018251417022226275,0.006903267287190871,0.0036441437415849387,0.0046324233133497135,0.031014524896831163,0.0030704601769160913,0.0061340405051225,0.014387753990779873,0.0027407979619456274,0.012636912371690793,0.012256490792918124,0.0,1.2853164293917835e-05,-0.0018923966025552067,-1.710476325802737e-05,0.004841573602232447,0.0,0.0,0.01076531730719422,0.00362050152872591,0.00026698688741812394,0.00010152976547238952,0.0,-0.00024144609211155263,0.0011098932974583722,0.0,-0.00013783530394612136,1.925955198988933e-05,0.0,-2.0633179733065196e-05,-0.00011193599703369016,-0.00021355598109611875,0.002544147164875212,0.0009355394126178561,0.0,0.0002778008809935123,1.4008939367555923e-05,3.99437127021769e-05,-0.00023889464669731643,0.0,0.0009625622714604893,1.7638650191030264e-05,0.00013412521720692868,-0.0010765638420883773,0.0,-0.00022919969718403834,0.0,0.0,0.00022481857463601808,3.9458727120016616e-05,0.0,0.0,0.00027874338742872834,0.00011495817815012872,0.00014657031334698744,4.696953072096398e-05,0.0,0.0,0.0,-2.676768811019389e-06,0.0,0.0,4.3271546775968814e-05,5.965158481098885e-05,-0.0002061866597817779,-0.0001736033369373197,3.204333094581337e-05,2.6121993654160807e-05,8.909991661772547e-05,-6.627525188793367e-06,4.713990295654002e-06,1.2731717799044379e-05,5.706409056819029e-05,0.00016915573445863333,2.68442337162055e-05,0.00013039806329460938,0.00013488945919984803,0.00014096762310574916,9.927698284541541e-05,5.168489620894238e-05,0.0,-1.65424617766449e-05,-4.977700844802495e-05,7.035141318794804e-05,0.00016304804876957334,0.00021877283591719408,0.00018673784849603553,7.062555198904402e-06,-8.409641716924147e-05,-4.322826985852609e-05,-0.0071999175573424345,-0.002486390545480296,4.034691136326227e-05,8.137209972998457e-05,-0.00019083349636888185,1.950367573827384e-05,-6.192572930880958e-05,-6.162817902067316e-05,-0.00017746389495259583,-5.886426345615759e-05,-0.00020230140092642178,-2.589757016602308e-05,9.600521240334053e-05,7.407499747926646e-05,0.00635447578135338,0.0022685387891181598,3.165016866620678e-05,-9.627652024936813e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.932166472866513e-06,-0.0005289999388967965,-4.090368782442209e-05,-0.00027218726521153797,8.99645548433898e-05,-2.4593041999930704e-05,-8.209241133098593e-05,4.225733781656876e-05,-0.0008010002161814326,-0.0021480801933467133,0.0,-3.7841515259241175e-06,0.0,0.0027377641242609684,0.0006585013067132911,0.0026990858526682667,0.0,0.0,0.0,0.001851589022574388,0.0,0.0011634606677419915,0.0,3.958342210125791e-05,0.0,3.521484245205516e-05,4.335378500127019e-05,0.0015259024045427246,0.0028725022445690446,0.011733166319927095,0.004449616131134498,-8.98560102828787e-06,0.0,0.00017111220779380477,0.0,0.00031071245785157186,0.00033796038751023874,0.002104837760609074,-5.518876121042641e-05,-0.0005044434543068308,8.510678710327697e-05,0.0006059350955060047,0.0021779754086728525,-1.266356933184851e-05,0.004617661258543474,0.0005923776258277192,6.428203055384715e-05,0.0,-0.00012826495413525293,0.015435734700500086,0.0,0.004977817688785193,0.00156741125746052,0.001319885883600416,-0.00031601463930028034,0.0,-0.0003478654361094771,0.0002816424071372939,-0.00010412280737434243,0.00926138287990734,0.001774662315644197,2.219142666323736e-05,0.0003416232923545986,-0.0001557619072567671,0.0,0.007646568380225893,0.0
FP,0.2520693953391985,0.024100771710547985,0.03790744300499405,0.00408214964892075,0.042095854783167484,0.05393628058633005,0.0,0.01643355687878507,0.04032434142185004,0.21513305953413994,0.002968719356761598,0.0019617912767560188,0.023984061443477617,0.017473936336140136,0.08310452934498058,0.19982981034122368,0.001181434754246252,0.09857883129744247,0.006521569399516831,0.02684928388649532,-0.0009135272352500969,0.019527896547479502,0.01841039020718514,0.010590822010641921,0.005266829361625115,0.021985951135865614,0.37799118006463545,0.017553093199550892,0.0015697116876306138,0.022942058028562397,0.002126080988784266,0.0027233707696209895,0.12326854833368302,0.10718643610168874,0.004353523840271764,0.06024747918767802,0.00477467188204096,0.02075510820114253,0.08233545575626283,0.030666585592844006,-0.004331346434057702,0.1686338778872969,0.01491436303249597,0.1363778264530936,0.01094678889419845,0.028129072265668208,0.03669101117469955,0.058479529940595104,0.0014795237258586618,0.005698510099307533,-0.0016128656801245227,0.007246487617522712,-0.01444715889228208,-0.012432172856353525,0.006107589468942823,0.013523218249905846,0.008431530827162696,0.01294938701631515,0.02003157552240267,0.03065887329594997,0.003814236727002328,-0.001075912960509875,0.002526861045268697,0.0016411653539290245,0.004337584986153071,-0.003201064092602064,0.00595977745660982,0.00908844369899504,0.12995666873806627,0.11078278256692177,0.004241061552347077,0.011011581901459384,0.03332891422500923,0.010984496866691855,0.019090213199885363,0.028707457095504808,0.047863716847125856,0.04821401709030751,0.010426343954825543,0.02249360341239202,0.009735277988493728,0.0028690853114363255,0.013090063098893637,0.05958324366464378,0.013172721602218284,0.008157580536357557,0.021258195765153,0.001738963492119164,0.03862599018205015,0.059495065687804986,0.0,0.003032768626133615,0.0026484737281233153,0.00864166867462083,0.002787815079303764,0.0,0.0,0.014413861501648778,0.010073927775147706,-7.256681802339714e-05,0.00013977503377728245,0.0,0.00021648069930381065,2.125785356228471e-05,0.0,-0.00010273187102396293,2.4383801920224527e-05,0.0,-1.5840307697015708e-05,-0.00012529885488128597,-0.00016558310462951227,0.003390748523718809,0.0011724553355537217,0.0,0.00040739999699910135,0.00011681294052092421,9.496691866732356e-06,0.00023127728425826732,0.0,0.0006702840625645983,-2.4948920668340944e-06,5.816021381287654e-05,0.00013599368325510562,0.0,8.48981668718376e-05,0.0,0.0,7.784563127928408e-06,4.7938577482468224e-06,0.0,0.0,5.85551782358406e-05,3.510995868306335e-05,-0.0001267475650566544,-4.290004932458121e-05,0.0,0.0,0.0,1.7966841957611438e-06,0.0,0.0,-4.7741540469835765e-05,3.594105032482362e-05,0.00011577019922615266,4.345433672265571e-05,5.6701869303829455e-06,-9.327092116892626e-06,0.0001440649779172461,4.530453918679763e-05,4.3013245911066646e-05,-1.1939751033104663e-05,-2.555108433171272e-07,1.9388245149942665e-05,-6.279123521907863e-05,2.691653736659881e-05,0.00025434331533557935,0.00015328133771367662,4.445542362822233e-05,1.882899629221765e-05,0.0,-2.1382614974647707e-06,0.0005155742970039174,0.00032453230365463837,0.00011319842540523594,0.000252877406913726,1.3507531009046112e-05,-1.6095064677580377e-05,-0.0004006507080497875,-0.00039958721463157534,-0.004562366188616787,-0.0018477417529403008,4.510939298862036e-05,1.53977641814654e-05,-0.00031812979389335503,-0.0002026828374419631,-4.590183327310674e-05,-5.676897336761046e-05,-0.00019984324803870075,7.360362794037862e-05,-0.00030512392759155714,-0.00014271700812391498,-0.00028944775049728484,-2.6462808709949645e-05,0.005954989672481329,0.0020750549822440424,-0.00014888038716634613,-0.00018391838753470797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0030150421257787e-05,0.0013616043268085663,-1.587709324622105e-05,0.00015393703255220376,-5.452458768300735e-05,3.5119412832637935e-05,-2.758349914644116e-06,4.2561366747427974e-05,0.0019996250428573536,0.001204886491206283,0.0,-0.0001596327667314977,0.0,0.0011803423311227317,0.0005735218320857698,0.00369935732487809,0.0,0.0,0.0,0.0030986449486140647,0.0,0.00028824182216066237,0.0,3.5567032910957346e-05,0.0,7.008767576044628e-05,6.303142576197139e-05,0.0018070250985303357,0.005606427413522447,0.02207453223116061,0.00017105733136468367,1.0608655531237898e-06,0.0,0.00012920391431867526,0.0,-4.771467980217394e-05,-0.00028384077698740843,0.003224935281454024,-0.00013531679071909346,-5.607476474272303e-05,0.00022504515577079023,0.0009090243450578963,0.0015617197164227044,-0.00011270486061180004,0.009755446094515093,0.0009236282735492872,8.699665853903551e-05,0.0,-0.00011321944492053809,0.03193176210240773,0.0,0.004518119081084929,0.0031064120417038225,-0.00165049922370217,0.0008543602569490021,0.0,-0.002835257436916154,0.00028541243500618995,-2.8245738883798558e-05,0.01666204262312161,0.0014706275551048256,0.00016087162583354928,0.0012898062961232205,0.0001691528767170984,0.0,0.0108737518432058,0.0
TN,-0.048238697264154244,-0.001344289082207597,-0.004501819125958089,-0.0003453943168418303,-0.014284093913646148,-0.0024444067961339167,0.0,-0.0029573705143992306,-0.012681028247329959,-0.047198736013275684,-0.0006674867448355282,-0.0013450000021196723,-0.004340112135198465,-0.003456552535614045,-0.018357642630442407,-0.04203271593425758,-0.0005290266097013253,-0.009466168922469657,0.004104104684261493,-0.010969663885547863,0.0016675576651342234,-0.00210324912553939,-0.006180821213820134,-0.004523171932314982,-0.0030904787703590637,-0.0038962729367092116,-0.09443543101189109,0.00016797115446302537,-0.0006207970955505002,0.0006427485772976913,0.00011898885659464555,-0.0005191566953439585,-0.019353911076998912,-0.021980789616344695,-0.0005316237669382391,-0.020132909592136747,-0.0002485205400019989,-0.008601694929921886,-0.015028365803634414,-0.009124860482863697,0.0024424604348499746,-0.033764554697499054,-0.0015634959823935006,-0.0210970478785871,-0.0015025193267638906,-0.004784273505960335,-0.009736075389842863,-0.015192211422316955,0.0028184695536462153,0.0033744280740792107,0.0013072028777559796,0.002346568063185551,0.004469094139762369,0.0010430453832205595,-0.00123778142463831,-0.00033428763081812105,-0.0019208135207360493,-0.0024787619113574846,-0.0012130881670121732,-0.005766624131109892,4.201189821952597e-05,0.0008157049409663344,-0.002514088277890394,-0.00022871424439312852,0.003019842073882484,0.0005913693525115937,-0.0001350201845969359,-0.00023429103194008835,-0.02399040145635526,-0.007602746950092199,-0.0015708974423739993,0.0012784448923539706,-0.008991642953808226,0.002432423284040119,-0.0007322009124290386,-0.004738443940060638,-0.007660158086298928,-0.012919469193389729,-0.005560534693701514,-0.006268123035603514,0.00610775541775251,0.005435023856085724,-0.0034479549135579993,-0.010832379793783117,-0.0033991145369297957,-0.002823938606865363,-0.004163723704161817,0.0006484720409866751,-0.003869328125410689,-0.011005707204149376,0.0,-0.0008780882544480613,-0.0013126123432104584,-0.0013370354103918645,-0.00020960978623143456,0.0,0.0,-0.0022813353732368293,-0.005804116505094359,4.264221771662045e-05,1.6405616972951965e-05,0.0,0.0001503848911732606,-0.0001974637419223881,0.0,-4.988941388112425e-05,1.2871161167513335e-05,0.0,-2.099437563476693e-05,8.056680521721417e-05,0.0001499973838654246,-0.0022491742674995647,-0.0007525978532261105,0.0,-0.00012488442196793343,0.0006182154769188471,-3.898603894611062e-05,0.00013583137961742004,0.0,-0.00014570964949938038,3.2253831584242087e-06,0.00010899255053979934,-0.0004861484738924006,0.0,-0.00011403300618627431,0.0,0.0,-7.214023870571714e-05,-1.5860644234153136e-05,0.0,0.0,-6.777708785913232e-05,-1.8072181588002307e-05,2.2576515102630602e-05,-2.416690862873503e-05,0.0,0.0,0.0,-1.4661555168047441e-05,0.0,0.0,-7.282191547300357e-05,-7.027483706061523e-07,6.457913961025762e-05,-1.9661196387204473e-05,-2.034057952953268e-05,-5.924769643059208e-06,-8.200625451725167e-06,1.6423787350512508e-05,-0.00010077879653518888,-1.9391156447781506e-05,2.165850811962014e-05,5.497681185726577e-05,4.2879180684922753e-05,0.00010878961234570399,0.00011506589809600082,8.761969139360283e-05,-5.850202623751778e-05,-8.42091195797966e-06,0.0,-1.1086458989081702e-05,-0.00036799050491312054,-2.7545839164570932e-05,-1.5357292800548722e-05,0.00016370519526590345,0.00017084294217832469,-1.2735463724058902e-05,9.138093764879998e-05,-4.5521211558561326e-05,-0.0071658500050081,-0.002492487200658579,-6.9163751588786275e-06,4.938747501789662e-05,-2.1664220574722747e-05,-4.0834764554926526e-05,9.446365298165633e-07,-1.8879506594150262e-05,5.4220188968615264e-05,4.822157015843741e-05,-1.1916707409466809e-05,-2.06837255844786e-05,0.000140806476043786,0.00011289852406499397,0.005859508057110803,0.0021543183720815966,-5.0144105554058364e-06,-9.384478967565633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93655712327856e-06,-3.4437064148042193e-05,1.0262310933550711e-05,6.567459307595483e-06,-8.524712666327949e-06,2.274982765639323e-06,-4.584732039910774e-05,3.150197582758608e-06,-1.812763680107729e-05,-0.0004820536076206162,0.0,5.5350949331287286e-06,0.0,5.9432750618756715e-05,0.00040227309313250066,2.9447775240533113e-05,0.0,0.0,0.0,-0.0005650252724586363,0.0,-5.390542757268304e-05,0.0,-1.3197666674605985e-05,0.0,-1.500753949028623e-06,-1.0790940960629159e-05,0.0005908033281658162,-0.00022354320394206436,-0.0029790108659041832,-0.0007100588299106474,1.0113527887944074e-05,0.0,0.00011814538015623649,0.0,2.078734700223614e-05,0.0001225434715491348,-0.0015846741381284756,6.632826615510623e-05,-9.029618385270444e-05,-3.48265531106715e-05,-0.000967856969748306,-8.813572140992527e-05,-1.3297176705172973e-05,-0.004261075267875319,-0.00030466235560793793,4.375820608717779e-05,0.0,-0.00027736636055108836,-0.00516238911673224,0.0,-0.0014412387616341393,0.00014539636930528514,0.0012131572207702565,-0.0014140142911972054,0.0,0.0003868436833980287,-0.00016304585992085854,-8.343987484200899e-05,-0.0017414776049430411,-0.0004902213721803005,1.3488452560135178e-05,0.00012509800736704846,-0.0006602734184376804,0.0,-0.003064973802066763,0.0
TP,0.18992491436717235,0.015394604729980745,0.04009528378862222,0.003440753498181866,0.053187825348989776,0.046058707640300386,0.0,0.008211917331033668,0.05906504730676889,0.3173510831910152,0.0030252669444801,0.0025086872311791196,0.022130927067300087,0.028337412454220473,0.13010695998197797,0.33204462457631667,0.0013586650488944885,0.11847368846002834,0.011528274884429734,0.05306760526401222,0.00019492758024150189,0.026569188297648996,0.03705512185718663,0.012757091654807382,0.007067797992183931,0.04571797972983477,0.4782619527555926,0.021203072192648473,0.002075656803666218,0.039358957654264046,-0.0036151120175415105,0.006303921624369832,0.12838511652319876,0.2264574104087363,0.009002704821043483,0.09162568285138738,0.006813149244378745,0.02724344270112631,0.08413108316954185,0.051156539179752554,0.010481197671917008,0.2549907504297676,0.020969000423407408,0.19745228828002676,0.017718492171102024,0.037656341755618536,0.09924728732688544,0.11467852012343616,0.001978245319131301,0.0074517765828387575,-0.003381312656789601,0.007998471615728248,-0.008864116053526508,-0.009815183467489502,0.00648433843652943,0.01190340260990309,0.008345647960531085,0.014533696036453094,0.01959088754320846,0.030413161451350347,0.006586758235674895,-0.0072944915434137916,0.0035042519755657366,0.0031019267772694576,0.003520822069167007,-0.004408407098301205,0.017175997194833207,0.025260759343758155,0.12161385510725585,0.09619810506854942,0.0079964609750855,0.012268395062879998,0.040300127929191444,0.00831694644025647,0.024012109617802105,0.054622963937365904,0.08738157447533688,0.08588025711105594,0.007821954542493853,0.018829732913709242,0.009075560311733122,0.0045041919613362106,0.018940824359299287,0.1035268439668111,0.01281985456395949,0.015087919299948158,0.039848799945929075,0.001893846220865742,0.039281726519748754,0.05176567008090046,0.0,0.0036072484863227186,0.005525696395553409,0.0056297147248372354,0.0031309483962402647,0.0,0.0,0.017192150728970665,0.008352949687207163,0.001040199997003345,7.91597187689717e-05,0.0,0.0023855714137125256,0.0004640053688236267,0.0,-4.985465597793357e-05,1.4347348537360907e-05,0.0,-1.212309121739189e-05,0.00011999545179338397,0.00025883552033717754,0.0047464016556574935,0.0018359452693255086,0.0,0.0005838090675171522,0.001653121494909928,2.6646296454984197e-05,0.0005102927030253841,0.0,0.0011282318748916265,3.603567829848676e-05,0.00018192861489020612,0.0021653377500715928,0.0,0.0015949711496746702,0.0,0.0,0.0002938680829504355,7.098309199651572e-05,0.0,0.0,0.0005699973837749988,0.00023916402794865897,0.0001345576807648104,1.665169956723443e-06,0.0,0.0,0.0,2.8689396207780688e-05,0.0,0.0,0.00014370819236653184,8.131387887100996e-05,0.0009232675099912236,0.00036012892932737805,-3.73633171420386e-05,-4.0038079941301065e-06,0.00016880231175260966,3.344404749828832e-05,-7.917766302498407e-05,-1.4725593257877318e-05,-0.0002959578248748354,-0.00015095420185906448,-4.812529188436176e-05,5.6200417796725124e-05,9.508993054261085e-05,2.4152152529245136e-05,-2.961738001586874e-05,6.466713978261729e-06,0.0,-2.110331134832442e-05,0.0003774063461531965,0.0002509957981798286,3.100146331833352e-05,0.00015325119283274928,0.0003373379153524183,7.752063224763114e-05,0.00045093810134799137,0.00045798414225069927,-0.000676563881659391,-0.0009256364041652163,0.00013495462763898872,7.699021418723733e-05,0.0001597142890202475,0.0003005125481693339,0.0001112756552823963,-2.8614433493349633e-05,0.0002368360879097478,0.0005163621018213344,0.0003155152655008998,4.404290088342745e-05,0.001467094325801239,0.0007593989482727146,0.005594764831041814,0.0020342675364632564,0.00021158393320736254,-8.864816675233764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1389703212179233e-05,0.00098323115308352,1.4931085096150753e-05,-0.0006773257353761529,8.93093954107347e-05,1.994770653518217e-05,-0.00011177968320613091,-4.624318962024713e-06,0.0010683131819952964,0.0006742617653050148,0.0,-0.00018522672001515346,0.0,0.0025134305819744266,0.0008240015349698373,0.002463826354168058,0.0,0.0,0.0,0.0029358047228358196,0.0,0.0007043678267324117,0.0,5.4604598387223656e-05,0.0,5.676262817288177e-05,6.76683942669956e-05,0.002031144067952887,0.0037261354901684924,0.023256850628834588,0.001952342958600317,1.883695420877862e-05,0.0,0.000279915631530484,0.0,8.216139112109921e-05,-0.0003142254966704226,0.0014423346304845005,1.8316389810604723e-05,4.682844248282762e-05,0.00015614380062245733,0.0019464358252196455,0.000635241166507577,-0.00011165522372193014,0.004267720757577317,0.0009553201808493885,7.145583091934632e-05,0.0,-5.382057283085509e-05,0.0356893912472976,0.0,0.003654514234944913,0.0025285229812057764,0.00011129010604502998,0.001124618782506906,0.0,-0.003965610825577473,0.00026942796511244285,-7.17301006801977e-05,0.016935807765787687,0.001426431411822758,0.00018771391519417172,0.0015944382400324784,0.0006661785507060768,0.0,0.010669287489628114,0.0
