feature,mean_abs_shap
age,0.4293240405588565
ventilated_apache,0.2777514159402276
apache_3j_diagnosis,0.23207627841453007
d1_bun_max,0.1387672470187992
d1_spo2_min,0.13772180231006287
gcs_motor_apache,0.13075615445639674
gcs_verbal_apache,0.12371566905669028
d1_heartrate_min,0.11981549121095163
d1_heartrate_max,0.11977928859143742
d1_resprate_max,0.11840194651507681
d1_bun_min,0.11444781866711667
urineoutput_apache,0.09528738567540958
d1_sysbp_min,0.09342149098998147
pre_icu_los_days,0.08575797264375261
d1_wbc_min,0.08108947007010449
elective_surgery,0.08092929992595387
d1_resprate_min,0.0751432360537355
d1_lactate_min,0.07461585556383121
d1_hemaglobin_max,0.06458088269721564
gcs_eyes_apache,0.06286507821908716
d1_sodium_max,0.05759021889009903
d1_mbp_min,0.057023175690742854
d1_temp_max,0.057020458181101255
d1_hemaglobin_min,0.05679282358548019
apache_3j_bodysystem_Metabolic,0.056159085782125015
d1_temp_min,0.05466202933916525
apache_2_diagnosis,0.051350146353987706
bmi,0.048990067264454686
weight,0.04850010144289661
d1_glucose_min,0.04688893704555007
d1_albumin_min,0.04536829359072161
icu_admit_source_Operating Room / Recovery,0.043254152061100525
d1_platelets_min,0.042446246758828556
d1_arterial_ph_min,0.04209131980016502
apache_3j_bodysystem_Neurological,0.038522789802335276
d1_sysbp_noninvasive_min,0.036406972668833144
d1_arterial_po2_max_missing,0.03635221088486419
temp_apache,0.03470835520502018
d1_pao2fio2ratio_min,0.03371353759200959
age_missing,0.03309009152117725
h1_resprate_min,0.03200629164097245
h1_heartrate_min,0.03186497780822318
d1_creatinine_min,0.031002735919035438
d1_inr_max,0.030661559660788606
d1_sysbp_max,0.029731760827554358
bilirubin_apache,0.02966789431660112
h1_temp_min,0.028834896125375185
d1_glucose_max,0.028539726378765035
heart_rate_apache,0.027721331577061026
d1_wbc_max,0.027499726446968208
d1_pao2fio2ratio_max,0.02535679110963779
bun_apache,0.025168569426126133
d1_potassium_max,0.024611741585658892
d1_inr_min,0.024056962941107717
d1_hco3_max,0.023641149203449445
h1_heartrate_max,0.022806170379018068
resprate_apache,0.022100029273513358
d1_creatinine_max,0.021863051181613347
d1_lactate_max,0.021811798748659114
wbc_apache,0.021771745884180207
d1_bilirubin_max,0.021554251396790493
d1_bilirubin_min,0.021436297273701315
d1_sysbp_noninvasive_max,0.02106477023804044
icu_type_Neuro ICU,0.020750665532779888
gender,0.02000931693805128
apache_3j_bodysystem_Cardiovascular,0.019857142103860432
d1_mbp_noninvasive_min,0.019264491549320653
icu_type_Med-Surg ICU,0.018697000290662777
glucose_apache,0.01831237492567514
d1_platelets_max,0.018215444153333742
diabetes_mellitus,0.017807090395581537
hospital_admit_source_Direct Admit,0.017783611709634058
creatinine_apache,0.017600721169428048
h1_mbp_min,0.01758184285380589
solid_tumor_with_metastasis,0.017535061266867553
map_apache,0.017426741454850504
d1_calcium_min,0.01723219462478762
h1_sysbp_noninvasive_max,0.016454739719951744
hospital_admit_source_Emergency Department,0.01626033855803248
d1_albumin_max,0.01622396779211527
h1_glucose_max,0.016113293335652284
apache_2_bodysystem_Undefined diagnoses,0.015791689608373082
d1_potassium_min,0.015746244750738627
d1_arterial_pco2_max,0.014993358715574896
d1_arterial_po2_min,0.014902232774295582
h1_diasbp_noninvasive_max,0.01461232812349434
d1_arterial_pco2_min,0.01448894579180178
apache_2_bodysystem_Neurologic,0.014432860028647559
d1_mbp_invasive_min,0.014324644042744847
h1_temp_max,0.014060248227930446
h1_mbp_noninvasive_min,0.01389486171448278
d1_sysbp_invasive_min,0.013445765885213064
apache_2_bodysystem_Cardiovascular,0.013330742185497997
height,0.013315044168415707
h1_resprate_max,0.013298565866894195
d1_hematocrit_min,0.01309485246695157
d1_arterial_ph_max,0.012578518384759516
d1_hco3_min,0.012191173164970672
apache_2_bodysystem_Metabolic,0.01188177607263039
h1_inr_max,0.011788711197819865
h1_spo2_min,0.011689758488732565
fio2_apache,0.011415772863546763
icu_admit_source_Other Hospital,0.01129200753395694
hematocrit_apache,0.010849340276108878
d1_inr_max_missing,0.010791661281535983
h1_diasbp_max,0.010667529701002577
d1_creatinine_max_missing,0.010607993899816325
h1_diasbp_min,0.010554974568060057
h1_mbp_noninvasive_max,0.01048864236915855
ethnicity_African American,0.010217825100008428
h1_mbp_max,0.010208203299049947
gcs_eyes_apache_missing,0.01003545650981085
d1_mbp_max,0.009945808418023994
d1_diasbp_noninvasive_min,0.009827562893604971
d1_diasbp_min,0.009482649431853073
d1_sysbp_invasive_max,0.00940786951955028
hospital_admit_source_Operating Room,0.009383182908652319
d1_arterial_ph_max_missing,0.009352179530263004
apache_3j_bodysystem_Sepsis,0.009334195474033694
albumin_apache,0.009205138540405966
h1_sysbp_min,0.009106222654745854
apache_3j_bodysystem_Gastrointestinal,0.009026766665702714
d1_calcium_max,0.008626042165110726
d1_potassium_max_missing,0.008405284984215318
h1_spo2_max,0.008302804446384435
d1_diasbp_invasive_min,0.0080134858629782
h1_mbp_invasive_min,0.008008898656761125
