spo2_group,n_patients,mean_spo2,mean_shap,median_shap
<85,2414,73.71251035625518,0.4482177879441357,0.4377985158900355
85-90,3590,88.63454038997214,0.029303495860598404,-0.01685771613187676
90-95,8363,93.0396986727251,-0.09613917330364213,-0.09929681449731426
95-100,3953,97.32937009865924,-0.0928921272429252,-0.09711358959642885
