feature,mean_abs_shap,rank
creatinine_apache_missing,0.0022612797791729537,144
d1_sodium_min_missing,0.0022509031651497136,145
d1_hematocrit_max_missing,0.0021597438626650713,146
h1_mbp_min_missing,0.0020986226207156122,147
gcs_unable_apache,0.002059580904709563,148
d1_calcium_min_missing,0.00205573533195859,149
d1_platelets_max_missing,0.001965899857966209,150
height_missing,0.0018133878324517307,151
d1_temp_max_missing,0.0017698179634263096,152
apache_3j_bodysystem_Hematological,0.0016310041066092049,153
d1_hco3_max_missing,0.0014624045487276187,154
d1_wbc_max_missing,0.001438680239606911,155
bun_apache_missing,0.0013895515205744936,156
d1_diasbp_noninvasive_max_missing,0.001368008477491009,157
h1_sysbp_noninvasive_min_missing,0.0013468132764483188,158
d1_hco3_min_missing,0.0013274660003396602,159
sodium_apache_missing,0.0013175448252160332,160
icu_type_Cardiac ICU,0.001254437543345582,161
h1_temp_min_missing,0.0012278127745803161,162
d1_potassium_min_missing,0.0010448785135609721,163
d1_mbp_max_missing,0.0010260592208801585,164
icu_type_SICU,0.001013074511383243,165
d1_bun_max_missing,0.0009951005533540606,166
gcs_verbal_apache_missing,0.0009304691093885995,167
d1_mbp_noninvasive_max_missing,0.0009211681072576883,168
d1_hematocrit_min_missing,0.0008579726714660318,169
d1_temp_min_missing,0.0008484494170661748,170
d1_glucose_max_missing,0.0008460783682276446,171
icu_stay_type_transfer,0.0008450560050448832,172
icu_type_MICU,0.0008252075382876448,173
icu_type_CTICU,0.0008105121555062052,174
apache_2_bodysystem_Haematologic,0.0008091980178238366,175
h1_resprate_max_missing,0.0007249367180224439,176
h1_heartrate_max_missing,0.0007198448751829578,177
h1_spo2_max_missing,0.0006972056272802232,178
d1_sysbp_noninvasive_max_missing,0.0006886909825985135,179
d1_wbc_min_missing,0.0006864973040488612,180
hospital_admit_source_Acute Care/Floor,0.0006829446409072707,181
icu_stay_type_admit,0.0006068264676262329,182
weight_missing,0.0005962806679598567,183
d1_platelets_min_missing,0.0005765444863949316,184
ethnicity_Hispanic,0.0005611177606441795,185
h1_resprate_min_missing,0.0005607210276146413,186
h1_diasbp_noninvasive_max_missing,0.000547834885584708,187
ethnicity_Other/Unknown,0.0005445483605747485,188
h1_mbp_noninvasive_max_missing,0.000533533996970611,189
ethnicity_missing,0.000500210991772409,190
h1_mbp_noninvasive_min_missing,0.00047379557699075487,191
apache_2_bodysystem_Renal/Genitourinary,0.00047136433205408653,192
d1_hemaglobin_max_missing,0.00041946743554095077,193
h1_spo2_min_missing,0.0004043613282134948,194
d1_mbp_min_missing,0.00039372065343202677,195
d1_hemaglobin_min_missing,0.0003594106882407534,196
d1_bun_min_missing,0.00028704297312890276,197
h1_diasbp_max_missing,0.0002693160898266213,198
d1_mbp_noninvasive_min_missing,0.0002566592325006387,199
d1_diasbp_noninvasive_min_missing,0.0002520476977399085,200
d1_sysbp_noninvasive_min_missing,0.00024857681123653793,201
ethnicity_Asian,0.000221453737406982,202
d1_glucose_min_missing,0.00021971694168009892,203
h1_heartrate_min_missing,0.0002068488970368514,204
ethnicity_Unknown,0.0001969503073236166,205
heart_rate_apache_missing,0.00018493893282169364,206
h1_sysbp_min_missing,0.0001794808837098092,207
h1_diasbp_noninvasive_min_missing,0.00016722824433165214,208
resprate_apache_missing,0.00014419909219930623,209
ethnicity_Native American,0.00012074124961716056,210
hospital_admit_source_Step-Down Unit (SDU),0.00011700274561942296,211
hospital_admit_source_PACU,0.00010925384240040148,212
apache_3j_bodysystem_Genitourinary,0.00010371938454010215,213
h1_diasbp_min_missing,7.721498624720528e-05,214
d1_spo2_min_missing,4.147404579225359e-05,215
arf_apache_missing,3.9918751739742124e-05,216
apache_2_diagnosis_missing,3.75187456781825e-05,217
apache_2_bodysystem_missing,2.0879120211111015e-05,218
icu_admit_source_Other ICU,1.830363313004482e-05,219
ventilated_apache_missing,0.0,220
apache_2_bodysystem_Undefined Diagnoses,0.0,221
aids,0.0,222
readmission_status,0.0,223
apache_3j_bodysystem_Unknown,0.0,224
intubated_apache_missing,0.0,225
leukemia,0.0,226
lymphoma,0.0,227
gender_missing,0.0,228
icu_admit_source_missing,0.0,229
apache_3j_bodysystem_Gynecological,0.0,230
gcs_unable_apache_missing,0.0,231
apache_3j_bodysystem_Musculoskeletal/Skin,0.0,232
apache_3j_diagnosis_missing,0.0,233
d1_diasbp_max_missing,0.0,234
hospital_admit_source_ICU to SDU,0.0,235
d1_diasbp_min_missing,0.0,236
icu_stay_type_readmit,0.0,237
h1_sysbp_max_missing,0.0,238
aids_missing,0.0,239
cirrhosis_missing,0.0,240
diabetes_mellitus_missing,0.0,241
hepatic_failure_missing,0.0,242
immunosuppression_missing,0.0,243
leukemia_missing,0.0,244
lymphoma_missing,0.0,245
solid_tumor_with_metastasis_missing,0.0,246
apache_3j_bodysystem_missing,0.0,247
d1_sysbp_min_missing,0.0,248
gender_Unknown,0.0,249
hospital_admit_source_Chest Pain Center,0.0,250
d1_sysbp_max_missing,0.0,251
d1_spo2_max_missing,0.0,252
hospital_admit_source_ICU,0.0,253
hospital_admit_source_Observation,0.0,254
d1_resprate_min_missing,0.0,255
hospital_admit_source_Other,0.0,256
d1_resprate_max_missing,0.0,257
hospital_admit_source_Other ICU,0.0,258
hospital_admit_source_Recovery Room,0.0,259
d1_heartrate_min_missing,0.0,260
d1_heartrate_max_missing,0.0,261
icu_admit_source_Unknown,0.0,262
apache_2_bodysystem_Unknown,0.0,263
